Country,,Country,Medal_Two_Prior,Event,Medal_One_Prior,Medal_Hosted,Medal_One_Next,Medal_Two_Next
Finland,7134,Finland,Gold,Boxing Men's Welterweight,No Medal,No Medal,No Medal,No Medal
Finland,7122,Finland,Silver,Athletics Men's Javelin Throw,Gold,Bronze,No Medal,No Medal
Finland,7139,Finland,Bronze,Gymnastics Men's Team All-Around,Gold,Bronze,Bronze,No Medal
Finland,74313121,Finland,No Medal,"Canoeing Men's Kayak Singles, 10,000 metres",Silver,Gold,No Medal,No Medal
Finland,74313119,Finland,No Medal,Gymnastics Men's Horse Vault,Silver,No Medal,No Medal,No Medal
Finland,7135,Finland,Gold,"Art Competitions Mixed Literature, Epic Works",No Medal,No Medal,No Medal,No Medal
Finland,74323542,Finland,No Medal,Athletics Men's Marathon,No Medal,No Medal,Bronze,No Medal
Finland,7133,Finland,Gold,Gymnastics Men's Horizontal Bar,Bronze,No Medal,No Medal,No Medal
Finland,74313125,Finland,No Medal,"Wrestling Men's Flyweight, Freestyle",Gold,No Medal,No Medal,No Medal
Finland,74319238,Finland,No Medal,Boxing Men's Bantamweight,No Medal,Gold,No Medal,No Medal
Finland,74313127,Finland,No Medal,Gymnastics Men's Individual All-Around,Gold,No Medal,No Medal,No Medal
Finland,7137,Finland,Bronze,"Wrestling Men's Lightweight, Freestyle",No Medal,No Medal,No Medal,No Medal
Finland,74313122,Finland,No Medal,Athletics Women's Javelin Throw,Silver,No Medal,No Medal,No Medal
Finland,7129,Finland,Gold,"Athletics Men's 10,000 metres",No Medal,No Medal,No Medal,No Medal
Finland,74323541,Finland,No Medal,Boxing Men's Featherweight,No Medal,No Medal,Bronze,Bronze
Finland,74319246,Finland,No Medal,Boxing Men's Light-Welterweight,No Medal,Bronze,No Medal,No Medal
Finland,7124,Finland,Silver,"Athletics Men's 5,000 metres",No Medal,No Medal,No Medal,No Medal
Finland,74319244,Finland,No Medal,"Canoeing Men's Canadian Singles, 1,000 metres",No Medal,Bronze,No Medal,No Medal
Finland,7138,Finland,Bronze,"Wrestling Men's Heavyweight, Freestyle",No Medal,No Medal,Bronze,No Medal
Finland,7128,Finland,Silver,"Athletics Men's 10,000 metres",No Medal,No Medal,No Medal,No Medal
Finland,74313116,Finland,No Medal,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,Gold,No Medal,No Medal
Finland,74323537,Finland,No Medal,Modern Pentathlon Men's Individual,No Medal,No Medal,Silver,No Medal
Finland,74323540,Finland,No Medal,Rowing Men's Coxed Fours,No Medal,No Medal,Bronze,No Medal
Finland,74313128,Finland,No Medal,Gymnastics Men's Individual All-Around,Bronze,No Medal,No Medal,No Medal
Finland,74319235,Finland,No Medal,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No Medal,Silver,No Medal,No Medal
France,7145,France,Silver,Art Competitions Mixed Sculpturing,No Medal,Bronze,No Medal,No Medal
France,74313175,France,No Medal,"Archery Men's Target Archery, 28 metres, Team",Bronze,No Medal,No Medal,No Medal
France,7150,France,Gold,"Shooting Men's Free Rifle, Three Positions, 300 metres",No Medal,No Medal,No Medal,No Medal
France,74319254,France,No Medal,Gymnastics Men's Side Horse,No Medal,Gold,No Medal,No Medal
